PostCode District ,Population,percentage_by_postcode_district
E1,70389,7.11
E10,43120,4.36
E11,54689,5.52
E12,42606,4.3
E13,47169,4.76
E14,82638,8.35
E15,51650,5.22
E16,45371,4.58
E17,103129,10.42
E18,19864,2.01
E1W,12428,1.26
E2,45811,4.63
E3,52371,5.29
E4,60357,6.1
E5,48492,4.9
E6,78790,7.96
E7,54133,5.47
E8,39260,3.97
E9,37768,3.81
EC1A,894,2.69
EC1M,2473,7.45
EC1N,2650,7.98
EC1R,4885,14.71
EC1V,12765,38.44
EC1Y,3767,11.34
EC2A,1229,3.7
EC2Y,3249,9.78
EC3R,227,0.68
EC4A,151,0.45
EC4V,595,1.79
EC4Y,320,0.96
N1,91056,10.74
N10,27992,3.3
N11,29879,3.52
N12,28898,3.41
N13,31783,3.75
N14,29956,3.53
N15,43718,5.15
N16,68567,8.08
N17,63538,7.49
N18,31742,3.74
N19,33752,3.98
N2,23968,2.83
N20,19024,2.24
N21,23500,2.77
N22,42851,5.05
N3,26534,3.13
N4,47291,5.58
N5,24287,2.86
N6,19474,2.3
N7,48157,5.68
N8,40037,4.72
N9,52193,6.15
NW1,60339,10.94
NW10,91997,16.68
NW11,32684,5.93
NW2,66968,12.14
NW3,51891,9.41
NW4,31932,5.79
NW5,31125,5.64
NW6,63903,11.59
NW7,25670,4.66
NW8,34353,6.23
NW9,60545,10.98
SE1,67037,6.78
SE10,23987,2.43
SE11,21974,2.22
SE12,27143,2.75
SE13,42278,4.28
SE14,24679,2.5
SE15,64359,6.51
SE16,44957,4.55
SE17,33591,3.4
SE18,77384,7.83
SE19,27650,2.8
SE2,27104,2.74
SE20,22881,2.31
SE21,15259,1.54
SE22,29738,3.01
SE23,33489,3.39
SE24,18914,1.91
SE25,34686,3.51
SE26,28378,2.87
SE27,21836,2.21
SE28,29488,2.98
SE3,31790,3.22
SE4,28723,2.91
SE5,46256,4.68
SE6,53271,5.39
SE7,21139,2.14
SE8,27859,2.82
SE9,62852,6.36
SW10,18478,2.11
SW11,71717,8.2
SW12,31586,3.61
SW13,16190,1.85
SW14,16830,1.92
SW15,60456,6.91
SW16,80927,9.25
SW17,64215,7.34
SW18,58992,6.74
SW19,77676,8.88
SW1A,246,0.03
SW1E,919,0.11
SW1H,734,0.08
SW1P,13508,1.54
SW1V,22574,2.58
SW1W,8557,0.98
SW1X,6026,0.69
SW1Y,550,0.06
SW2,54331,6.21
SW20,28275,3.23
SW3,22170,2.53
SW4,39586,4.52
SW5,15493,1.77
SW6,65149,7.45
SW7,19852,2.27
SW8,36408,4.16
SW9,43399,4.96
W10,34202,6.41
W11,31499,5.9
W12,48949,9.17
W13,32411,6.07
W14,37480,7.02
W1B,508,0.1
W1D,1544,0.29
W1F,1510,0.28
W1G,2931,0.55
W1H,6289,1.18
W1J,1528,0.29
W1K,3015,0.56
W1S,151,0.03
W1T,4060,0.76
W1U,5651,1.06
W1W,4434,0.83
W2,48372,9.06
W3,52419,9.82
W4,44018,8.25
W5,49943,9.36
W6,35728,6.69
W7,28959,5.43
W8,20536,3.85
W9,37569,7.04
WC1A,545,1.51
WC1B,1667,4.63
WC1E,2282,6.34
WC1H,8328,23.14
WC1N,7295,20.27
WC1R,630,1.75
WC1V,960,2.67
WC1X,7953,22.09
WC2B,1907,5.3
WC2E,905,2.51
WC2H,2491,6.92
WC2N,1032,2.87
